#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
1,USA,"99,647,812",,"1,098,235 ",,"97,206,960",,"1,342,617","2,605","297,228","3,276","1,132,266,165","3,377,308","335,257,001 ",North America,33050,,,"4,005",
2,India,"44,661,516",,"530,509 ",,"44,116,492",,"14,515",698,"31,635",376,"901,728,285","638,712","1,411,792,127 ",Asia,"322,6612",,,10,
3,France,"36,946,904",,"157,277 ",,"36,110,751","+9,421","678,876",869,"563,114","2,397","271,490,188","4,137,828","65,611,757 ",Europe,24170,,,"10,347",
4,Germany,"35,823,771",,"154,535 ",,"34,509,500","+119,900","1,159,736","1,406","424,395","1,831","122,332,384","1,449,241","84,411,371 ",Europe,25461,,,"13,739",
5,Brazil,"34,892,871",,"688,425 ",,"34,067,695",,"136,751","8,318","161,467","3,186","63,776,166","295,125","216,098,975 ",South America,63143,,,633,
6,S. Korea,"25,856,910","+18,671","29,390 ",+18,"25,190,174","+25,351","637,346",365,"503,322",572,"15,804,065","307,637","51,372,504 ",Asia,"21,7483",363,0.4,"12,406",
7,UK,"23,930,041",,"194,704 ",,"23,593,475","+10,486","141,862",146,"348,219","2,833","522,526,476","7,603,559","68,721,299 ",Europe,33530,,,"2,064",
8,Italy,"23,642,011",,"179,436 ",,"23,037,464",,"425,111",238,"392,375","2,978","253,427,252","4,206,004","60,253,681 ",Europe,33360,,,"7,055",
9,Japan,"22,706,566","+31,622","47,069 ",+42,"20,524,855","+4,161","2,134,642",174,"180,828",375,"78,307,523","623,616","125,570,123 ",Asia,"62,6682",252,0.3,"17,000",
10,Russia,"21,468,271","+4,421","390,649 ",+61,"20,860,277","+4,944","217,345","2,300","146,961","2,674","273,400,000","1,871,565","146,080,985 ",Europe,73741,30,0.4,"1,488",
11,Turkey,"16,919,638",,"101,203 ",,"16,818,435",,0,,"195,681","1,170","162,743,369","1,882,179","86,465,414 ",Asia,58541,,,,
12,Spain,"13,529,643",,"115,239 ",,"13,313,832",,"100,572",339,"289,112","2,463","471,036,328","10,065,485","46,797,182 ",Europe,34060,,,"2,149",
